lane1 det1;lane1 det2;lane2 det1;lane2 det2;lane3 det1;lane3 det2
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;1;0;0;0
0;0;1;0;0;0
0;0;0;0;0;0
1;0;1;1;0;0
0;1;1;1;1;0
0;0;1;1;0;1
0;1;1;1;1;0
0;0;0;0;0;0
1;1;1;1;1;1
0;0;1;1;1;1
0;1;0;0;1;1
0;0;0;0;0;0
0;0;0;1;0;1
0;1;0;0;0;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;1;0;0;0
0;0;0;0;0;0
0;0;1;0;0;0
0;0;1;1;1;0
0;0;1;1;1;0
0;0;0;0;0;0
0;0;0;0;1;1
0;0;1;1;1;1
0;0;1;1;1;1
0;0;0;0;0;0
0;0;1;1;1;1
0;0;0;1;1;1
0;0;0;1;1;1
0;0;0;0;0;0
0;0;0;0;0;1
0;0;0;0;0;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;1;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;1;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
0;0;0;0;0;0
1;1;1;0;0;0
0;1;0;1;0;0
1;1;1;1;0;0
0;0;0;0;0;0
1;1;1;1;0;0
0;1;1;1;1;0
0;1;0;1;1;1
0;0;0;0;0;0
0;0;0;1;1;1
1;0;0;0;0;1
0;0;0;0;0;0
1;0;0;0;0;0
1;0;1;0;0;1
1;1;1;0;1;0
0;0;0;0;0;0
1;1;1;1;1;1
0;1;1;1;1;1
0;1;0;1;1;0
0;0;0;1;0;1
0;0;0;0;0;0
0;0;0;0;0;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;1;0
0;0;0;0;0;0
0;0;0;1;1;0
0;0;0;0;1;1
0;0;0;0;1;1
0;0;1;0;1;0
0;0;0;0;0;0
0;0;0;1;1;1
0;0;0;0;1;1
0;0;1;0;1;0
0;0;0;0;0;0
0;0;0;0;1;0
0;0;0;0;1;1
0;0;0;0;0;1
0;0;0;0;0;0
1;0;0;0;0;1
1;0;0;0;0;0
1;1;1;0;0;0
0;0;0;0;0;0
1;1;1;1;0;0
0;0;0;1;0;0
1;1;1;1;1;1
0;0;0;0;0;0
1;0;0;1;0;0
1;1;1;1;0;0
0;1;1;1;0;0
0;0;0;0;0;0
0;1;0;0;0;0
0;1;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
1;0;1;0;0;0
1;1;1;1;0;0
0;1;1;1;0;0
0;1;1;1;0;0
0;0;0;0;0;0
0;1;0;1;0;0
0;1;1;1;1;0
1;1;1;1;1;1
0;0;0;0;0;0
1;0;1;0;0;1
0;1;1;1;0;1
0;1;0;1;0;1
0;0;0;0;0;0
0;0;0;0;0;0
0;1;1;0;0;0
0;0;1;1;0;0
0;0;0;0;0;0
0;0;1;1;1;0
0;0;1;1;1;0
0;0;0;1;1;1
0;0;0;0;0;0
0;0;1;1;1;1
1;0;1;1;1;0
1;0;1;0;0;1
0;0;0;0;0;0
1;1;1;1;0;0
1;1;0;1;1;0
0;1;1;1;1;1
0;0;0;0;0;0
0;0;1;1;0;1
1;0;1;1;0;0
1;0;1;1;0;1
0;0;0;0;0;0
0;0;1;0;0;0
0;1;0;1;0;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;1;0;0;0
0;1;0;0;1;0
0;0;0;0;1;0
0;0;0;0;0;0
0;0;0;1;1;1
0;0;1;0;1;1
0;0;0;1;1;1
0;0;0;0;0;0
0;0;0;0;1;1
0;0;0;0;1;1
0;0;0;0;1;1
0;0;0;0;0;0
0;0;0;0;1;1
0;0;0;0;0;1
0;0;0;0;0;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;1;0
0;0;0;0;0;0
0;0;0;0;1;0
0;0;0;0;1;1
0;0;0;0;1;1
0;0;0;0;0;0
0;0;0;0;1;1
0;0;0;0;0;0
0;0;0;0;1;1
0;0;0;0;0;0
0;0;0;0;1;0
0;0;0;0;1;1
0;1;1;0;1;1
0;0;0;0;0;0
0;0;0;0;0;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;1;0;0;0
0;0;1;0;0;0
0;0;1;1;1;0
0;0;0;0;0;0
0;0;1;1;1;1
0;0;0;1;1;1
0;0;0;1;1;1
0;0;0;0;0;0
0;0;1;1;0;0
0;0;1;0;0;0
0;0;1;1;1;0
0;0;0;1;1;0
0;0;0;0;0;0
0;0;0;0;1;1
0;0;0;0;0;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
1;0;0;0;0;0
1;0;1;0;0;0
0;0;0;0;0;0
1;0;1;0;0;0
1;1;1;1;0;0
1;1;1;1;0;0
0;0;0;0;0;0
0;1;1;0;0;0
0;1;1;1;0;0
0;0;0;1;1;0
0;0;0;0;0;0
1;0;0;1;1;1
0;0;0;0;0;1
1;1;0;0;0;0
0;0;0;0;0;0
1;1;1;0;1;0
0;1;1;0;0;0
0;1;0;1;0;1
0;0;0;0;0;0
0;0;0;0;1;1
0;0;0;0;1;1
0;0;0;0;0;0
0;0;0;0;1;0
0;0;0;0;0;0
0;0;0;0;1;0
0;0;0;0;1;0
