F 1 2 3 4 5 6 c

0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0
2 0 0 0 0 0 0 0
3 0 0 0 0 0 0 0
4 0 0 0 0 0 0 0
5 0 0 0 0 0 0 0
6 0 0 0 0 0 0 0
7 0 0 0 0 0 0 0
8 0 0 1 0 0 0 1
9 0 0 1 0 0 0 1
10 0 0 1 0 0 0 1
11 0 0 1 1 0 0 2
12 0 1 1 1 1 0 4
13 0 1 1 1 1 1 5
14 0 1 1 1 1 1 5
15 0 1 1 1 1 1 5
16 0 1 1 1 1 1 5
17 0 1 1 1 1 1 5
18 0 1 0 0 1 1 3
19 0 0 0 0 0 1 1
20 0 0 0 0 0 1 1
21 0 0 0 0 0 1 1
22 0 0 0 0 0 0 0
23 0 0 0 0 0 0 0
24 0 0 0 0 0 0 0
25 0 0 0 0 0 0 0
26 0 0 0 0 0 0 0
27 0 0 0 0 0 0 0
28 0 0 0 0 0 0 0
29 0 0 0 0 0 0 0
30 0 0 1 0 0 0 1
31 0 0 1 0 0 0 1
32 0 0 1 0 0 0 1
33 0 0 1 1 1 0 3
34 0 0 1 1 1 0 3
35 0 0 1 1 1 0 3
36 0 0 1 1 1 1 4
37 0 0 1 1 1 1 4
38 0 0 1 1 1 1 4
39 0 0 0 1 1 1 3
40 0 0 0 1 1 1 3
41 0 0 0 1 1 1 3
42 0 0 0 1 1 1 3
43 0 0 0 0 0 1 1
44 0 0 0 0 0 1 1
45 0 0 0 0 0 1 1
46 0 0 0 0 0 0 0
47 0 0 0 0 0 0 0
48 0 0 0 0 0 0 0
49 0 0 0 0 0 0 0
50 0 0 0 0 0 0 0
51 0 0 0 0 0 0 0
52 0 0 0 0 0 0 0
53 0 0 0 0 0 0 0
54 0 0 0 0 0 0 0
55 0 0 0 0 0 0 0
56 0 0 0 0 0 0 0
57 0 0 0 0 0 0 0
58 0 0 0 0 0 0 0
59 0 0 0 0 0 0 0
60 0 0 0 0 0 0 0
61 0 0 0 0 0 0 0
62 0 0 0 0 0 0 0
63 0 0 0 0 0 0 0
64 0 0 0 0 0 0 0
65 0 0 0 0 0 0 0
66 0 0 0 0 0 0 0
67 0 0 0 0 0 0 0
68 0 0 0 0 0 0 0
69 0 0 0 0 0 0 0
70 0 0 0 0 0 0 0
71 0 0 0 0 0 0 0
72 0 0 0 0 0 0 0
73 0 0 0 0 0 0 0
74 0 0 0 0 0 0 0
